date,price,logprice,return,volatility,volatility60
2012-11-12,11.008,2.398622281190988,0.012735182426139247,0.02498938990259576,0.02139685880815642
2012-11-13,10.9512,2.393449039299165,-0.005173241891822666,0.025114716605233477,0.021231350816943648
2012-11-14,10.95,2.3933394562625097,-0.00010958303665553615,0.025035910496131505,0.021212616473879384
2012-11-15,11.1977,2.4157084000695264,0.022368943807016706,0.025030944313209444,0.021159909641523166
2012-11-16,11.7489,2.4637596191865447,0.04805121911701837,0.025459846343753815,0.021381540297213973
2012-11-17,11.7889,2.4671584107903426,0.003398791603797857,0.027010527974752323,0.021958621216571977
2012-11-18,11.6515,2.455434927088256,-0.011723483702086757,0.026835039261636762,0.021680340907264402
2012-11-19,11.7999,2.4680910568594383,0.012656129771182467,0.026925429063129162,0.021527070522559585
2012-11-20,11.7328,2.462388338357398,-0.005702718502040405,0.02697068722186894,0.021575761584766172
2012-11-21,11.77,2.4655539212721855,0.0031655829147876346,0.02696653476092768,0.021546933233626785
2012-11-22,12.4219,2.5194610438712512,0.053907122599065715,0.026953322321751155,0.021549209826006752
2012-11-23,12.345,2.513251122797143,-0.006209921074108227,0.02872850608276293,0.02266313374248103
2012-11-24,12.4115,2.5186234621782084,0.005372339381065405,0.02522354687312467,0.02265705751724859
2012-11-25,12.4821,2.524295618016372,0.005672155838163384,0.02131428480540403,0.022654580920380103
2012-11-26,12.2455,2.5051585225635455,-0.01913709545282627,0.021312062701339805,0.022662598441692973
2012-11-27,12.2,2.501435951739211,-0.0037225708243346922,0.02072071887360221,0.022785126235226758
2012-11-28,12.3477,2.5134698109123152,0.0120338591731044,0.020609985596261652,0.022788210215449644
2012-11-29,12.45,2.5217206229107165,0.008250811998401275,0.020228652555635676,0.022840588802780074
2012-11-30,12.565,2.5309151709955553,0.009194548084838772,0.019712728128700275,0.02286627882985741
2012-12-01,12.562,2.530676384032189,-0.00023878696336643301,0.01576348317352624,0.02243277454400455
2012-12-02,12.5,2.5257286443082556,-0.004947739723933253,0.015526765712927772,0.022425716323832886
2012-12-03,12.679,2.539947081545811,0.014218437237555559,0.015534751412729853,0.022430772912521796
2012-12-04,13.41,2.5960006972935874,0.05605361574777623,0.015524873203745616,0.022451561799302328
2012-12-05,13.38,2.5937610547000824,-0.0022396425935049535,0.017993906713043028,0.023519769869865714
2012-12-06,13.299,2.587688844431026,-0.006072210269056466,0.018041897731552372,0.022181527496311745
2012-12-07,13.4999,2.6026822780095413,0.014993433578515347,0.018183936960501527,0.02220136761033097
2012-12-08,13.4201,2.5967535830806017,-0.0059286949289396595,0.0182033022300479,0.022242392710089966
2012-12-09,13.388,2.59435878334908,-0.0023947997315216796,0.018076280816887,0.02215677578517572
2012-12-10,13.4334,2.5977441430513695,0.003385359702289481,0.01816840806802804,0.022130409558199792
2012-12-11,13.557,2.606903019097252,0.009158876045882725,0.01810001272057953,0.022123908395057842
2012-12-12,13.6989,2.6173155376397035,0.010412518542451288,0.01807386116355505,0.022069759267990062
2012-12-13,13.7001,2.617403132077513,8.759443780936849e-05,0.01792445426512408,0.02203066005711424
2012-12-14,13.6,2.6100697927420065,-0.007333339335506395,0.01792141554792208,0.02201954680790814
2012-12-15,13.4901,2.6019560830906325,-0.008113709651373924,0.017903437351194033,0.022055870313529385
2012-12-16,13.3,2.5877640352277083,-0.014192047862924273,0.016230384390069824,0.022085638706694808
2012-12-17,13.2501,2.5840050995735626,-0.0037589356541456453,0.016607611584572322,0.022157541215169618
2012-12-18,13.299,2.587688844431026,0.003683744857463367,0.016400145186857295,0.02203221267666341
2012-12-19,13.599,2.609996260626822,0.022307416195796126,0.016323938405460134,0.02203149222191138
